00:50:C2:84:A,Keystone Electronic Solutions
00:1A:C5,"Keysight Tech, Inc"
00:50:C2:C7:C,"Keysight Tech, Inc"
00:1B:6E,"Keysight Tech, Inc"
80:09:02,"Keysight Tech, Inc"
00:1E:D1,Keyprocessor B.V.
00:50:C2:88:F,Keynote Sigos GmbH
00:E0:DF,Keymile GmbH
00:0F:C5,KeyMed Ltd
00:13:A4,KeyEye Communications
00:01:FC,Keyence Corp
00:D0:7E,Keycorp Ltd
70:B3:D5:C3:7,Keycom Corp
00:08:10,"Key Tech, Inc"
00:50:C2:3D:8,"Key Systems , Inc"
40:D8:55:14:1,"Key Systems , Inc"
00:50:C2:D2:F,"Key Systems , Inc"
00:0B:E3,"Key Stream Co, Ltd"
00:14:CA,Key Radio Systems Ltd
60:89:B1,Key Digital Systems
70:B3:D5:42:7,Key Chemical & Equipment Co
0C:7D:7C,"Kexiang Information Tech Co, Ltd"
70:B3:D5:99:A,"Kevic. Inc,"
00:60:BC,"KeunYoung Electronics & Communication Co, Ltd"
00:1A:EC,"Keumbee Electronics Co, Ltd"
00:43:FF,Ketron S.R.L.
A4:9D:49,"Ketra, Inc"
00:50:75,Kestrel Solutions
3C:57:BD,Kessler Crane Inc
34:00:8A:9,Keruyun Technoligies(Beijing) Corp Ltd
40:D8:55:18:E,"Kerun Visual Tech Co, Ltd(Shenzhen)"
00:12:3B,KeRo Systems ApS
84:1E:26,"Kernel-I Co, Ltd"
70:76:FF,Kerlink
00:14:34,"Keri Systems, Inc"
00:30:27,"Kerbango, Inc"
00:0B:8B,"Kerajet, S.A."
D8:E9:52,Keopsys
40:D8:55:0E:2,Keocko Holding Kft.
00:0D:4F,Kenwood Corp
00:1B:F4,Kenwin Industrial(HK) Ltd
00:20:5B,"Kentrox, Llc"
00:50:C2:67:5,Kenton Research Ltd
5C:6A:7D,Kentkart Ege Elektronik San. VE Tic. Ltd Sti.
00:0F:0B,Kentima Tech AB
00:40:6A,"Kentek Information Systems, Inc"
70:B3:D5:EA:C,Kentech Instruments Ltd
00:0A:FD,Kentec Electronics
00:22:8B,Kensington Computer Products Group
0C:EF:AF:0,Kenmore
00:26:AA,"Kenmec Mechanical Engineering Co, Ltd"
00:01:8F,"Kenetec, Inc"
70:B3:D5:E4:9,Kendrion Mechatronics Center GmbH
40:ED:98:4,Kendrion Kuhnke Automation GmbH
00:10:A1,"Kendin Semiconductor, Inc"
00:80:81,Kendall Square Research Corp
00:50:C2:A2:8,Kenda Electronic Systems Ltd
64:F9:70,"Kenade Electronics Tech Co, Ltd"
CC:D3:1E:3,Ken A/S
EC:A2:9B,Kemppi Oy
D4:4F:80,Kemper Digital GmbH
F4:C7:C8,Kelvin Inc
00:1B:D6,Kelvin Hughes Ltd
00:17:9D,Kelman Ltd
BC:BB:C9,Kellendonk Elektronik GmbH
00:11:FE,"Keiyo System Research, Inc"
00:60:1A,Keithley Instruments
00:50:C2:9F:2,Keith & Koep GmbH
00:50:C2:99:0,Keith & Koep GmbH
00:50:C2:DA:D,Keith & Koep GmbH
64:D2:41,Keith & Koep GmbH
00:50:C2:C8:F,Keith & Koep GmbH
00:50:C2:8B:5,Keith & Koep GmbH
00:50:C2:B1:4,Keith & Koep GmbH
00:50:C2:94:2,Keith & Koep GmbH
00:50:C2:0E:C,Keith & Koep GmbH
00:50:C2:70:1,Keith & Koep GmbH
00:50:C2:CE:A,Keith & Koep GmbH
00:50:C2:78:6,Keith & Koep GmbH
00:50:C2:82:B,Keith & Koep GmbH
00:50:C2:D8:0,Keith & Koep GmbH
00:50:C2:66:8,Keith & Koep GmbH
00:50:C2:D4:E,Keith & Koep GmbH
00:50:C2:DC:4,Keith & Koep GmbH
00:50:C2:C1:0,Keith & Koep GmbH
00:50:C2:B8:C,Keith & Koep GmbH
00:50:C2:A7:7,Keith & Koep GmbH
00:50:C2:3B:8,Keith & Koep GmbH
C4:92:4C,"Keisokuki Center Co, Ltd"
00:A0:E2,Keisokugiken Corp
00:0B:39,"Keisoku Giken Co, Ltd"
00:21:30,Keico Hightech Inc
00:16:AA,Kei Communication Tech Inc
70:B3:D5:99:4,KeFF Networks
70:B3:D5:69:C,Keepen
50:FF:20,Keenetic Ltd
00:50:C2:96:D,Keene Electronics Ltd
B8:14:13,Keen High Holding(HK) Ltd
F0:F8:42,"Keebox, Inc"
00:23:2E,"Kedah Electronics Engineering, Llc"
00:60:B5,Keba GmbH
00:08:FA,Keb Automation KG
6C:3E:9C,KE Knestel Elektronik GmbH
00:05:14,"Kdt Systems Co, Ltd"
70:B3:D5:74:8,Kdt
40:D8:55:09:1,Kdt
00:50:C2:CC:6,Kdt
70:B3:D5:2C:E,Kdt
00:17:01,"Kde, Inc"
00:05:46,Kddi Network & Solultions Inc
08:00:1C,Kdd-Kokusai Debnsin Denwa Co
00:04:BA,Kdd Media Will Corp
00:01:35,Kdc Corp
00:11:E5,KCodes Corp
94:92:D2,"Kcf Tech, Inc"
74:F7:37,Kce
00:06:A8,"KC Tech, Inc"
B4:36:E3,Kbvision Group
00:16:63,Kbt Mobile
00:50:C2:01:F,Kbs Industrieelektronik GmbH
70:B3:D5:86:0,Kbs Industrieelektronik GmbH
00:16:B1,Kbs
40:D8:55:1B:C,"KbDevice, Inc"
3C:0F:C1,Kbc Networks
00:30:DF,KB/Tel Telecomunicaciones
00:06:AD,KB Electronics Ltd
30:0A:60:0,"KAZUtechnica Co, Ltd"
00:24:47,Kaztek Systems
70:B3:D5:76:8,Kazan Networks Corp
00:60:DE,Kayser-Threde GmbH
80:7B:85:D,Kaynes Tech India Pvt Ltd
14:AE:85:0,Kayamatics Ltd
00:11:4A,"Kayaba Industry Co,.Ltd"
64:FB:81:5,Kay Schulze & Karsten Pohle GbR
70:B3:D5:FE:E,"Kawasaki Robot Service, Ltd"
00:06:13,Kawasaki Microelectronics Inc
00:50:5B,"Kawasaki Lsi U.S.A., Inc"
00:90:0F,"Kawasaki Heavy Industries, Ltd"
00:11:03,kawamura electric Inc
00:0C:35,KaVo Dental GmbH & Co KG
00:50:C2:0A:8,Kaveri Networks
00:D0:B4,"Katsujima Co, Ltd"
00:40:F6,Katron Computers Inc
E0:D1:0A,Katoudenkikougyousyo Co Ltd
40:F3:85:5,Kato Engineering Inc
00:D0:55,Kathrein-Werke KG
00:D0:5C,Kathrein TechnoTrend GmbH
B4:A2:EB:2,Katerra Inc
00:50:C2:07:0,Katchall Tech Group
00:20:1D,Katana Products
C4:95:4D:A,Kat Mekatronik Urunleri AS
00:A0:D7,Kasten Chase Applied Research
00:25:C6,"kasercorp, Ltd"
80:AD:67,Kasda Networks Inc
00:0E:F4,Kasda Networks Inc
FC:A4:7A:8,Karry Communication Ltd
00:16:86,Karl Storz Imaging
00:50:C2:7F:9,Karl Dungs GmbH & Co KG
00:08:D1,Karel Inc
00:20:77,Kardios Systems Corp
00:08:AA,Karam
00:21:EF,Kapsys
00:E0:6A,Kapsch AG
00:0B:1E,Kappa opto-electronics GmbH
3C:89:A6,Kapelse
00:0B:81,Kaparel Corp
00:D0:9C,Kapadia Communications
40:D8:55:00:8,Kaori Industria Eletronica Ltda
00:72:98,"Kaonmedia Co, Ltd"
90:F8:91,"Kaonmedia Co, Ltd"
00:08:B9,"Kaonmedia Co, Ltd"
80:8C:97,"Kaonmedia Co, Ltd"
44:F0:34,"Kaonmedia Co, Ltd"
94:3B:B1,"Kaonmedia Co, Ltd"
74:E1:4A:9,"Kanto Aircraft Instrument Co, Ltd"
00:60:87,"Kansai Electric Co, Ltd"
70:B3:D5:A4:7,Kanoa Inc
00:04:0C,"Kanno Works, Ltd"
10:FB:F0,KangSheng Ltd
00:09:B1,"Kanematsu Electronics, Ltd"
70:65:A3,"Kandao lightforge Co, Ltd"
00:01:14,"Kanda Tsushin Kogyo Co, Ltd"
40:11:75:2,Kanda Kogyo
00:13:EA,Kamstrup A/S
0C:8C:8F,Kamo Tech Ltd
00:24:F4,"Kaminario, Ltd"
00:18:F7,Kameleon Tech
C4:00:49,Kamama
00:50:C2:EE:8,"Kamacho Scale Co, Ltd"
70:B3:D5:43:B,Kalycito Infotech Private Ltd
40:D8:55:1D:3,Kaluga Teletypes Manufacturing Plant
A0:28:33:C,Kalray S.A.
00:80:24,"Kalpana, Inc"
AA:38:C7,Kaloom Inc
00:50:C2:23:E,Kallastra Inc
00:25:97,Kalki Communication Tech
70:B3:D5:64:B,Kalfire
00:0B:63,Kaleidescape
14:5E:45,Kaleao Ltd
0C:1C:20,Kakao Corp
24:15:10:3,Kaiyun
F8:8C:1C,"Kaishun Electronic Tech Co, Ltd Beijing"
00:1C:C9,"Kaise Electronic Tech Co, Ltd"
00:12:5B,Kaimei Electroni
00:13:7C,"Kaicom Co, Ltd"
14:ED:E4,Kaiam Corp
78:3C:E3,Kai-EE
70:B3:D5:0D:5,Kahler Automation
00:50:C2:9B:3,Kahler Automation
00:50:C2:E1:2,Kago Electronics BV
C4:FF:BC:B,"Kaga Electronics Co, Ltd"
00:24:8A,"Kaga Electronics Co, Ltd"
80:6C:8B,Kaeser Kompressoren AG
90:4E:91:A,Kaertech Ltd
60:89:B7,Kael MÜHendİSLİK ElektronİK TİCaret Sanayİ LİMİTed ŞİRketİ
00:21:48,Kaco Solar Korea
00:07:CC,Kaba Benzing GmbH
00:0C:C6,Ka-Ro electronics GmbH
00:14:74,K40 Electronics
D0:D2:12,"K2net Co, Ltd"
88:73:98,K2e Tekpoint
00:50:C2:85:0,K.K. Rocky
00:90:C0,"K.J. Law Engineers, Inc"
00:50:C2:CD:D,K.C.C. Shokai Ltd
14:C3:C2,K.A. Schmersal GmbH & Co KG
7C:70:BC:4,"K-Vision Tech (Shanghai), Ltd"
00:13:9A,K-ubique ID Corp
00:0D:6D,K-Tech Devices Corp
00:0D:6E,K-Patents Oy
00:A0:99,K-Net Ltd
00:50:C2:8F:6,K-Mac Corp
00:10:84,K-Bot Communications
00:1B:C5:09:E,K+K Messtechnik GmbH
80:74:59,"K's Co, Ltd"
70:B3:D5:9B:3,K&J Schmittschneider AG
00:09:E4,K Tech Infosystem Inc
00:14:D4,K Tech Corp
8C:1C:DA:7,K Tech Corp
00:22:71,Jäger Computergesteuerte Meßtechnik GmbH
00:50:C2:0A:2,Jäger Computergesteuerte Meßtechnik GmbH
00:1A:44,"JWTrading Co, Ltd"
BC:38:65,Jwcnetworks
3C:39:C3,"JW Electronics Co, Ltd"
00:50:C2:D0:C,Jvl Industri Elektronik
54:E3:B0,Jvl Industri Elektronik
4C:E1:73:A,jvi
00:50:C2:4A:B,Jvf Communications Ltd
E0:DA:DC,Jvc Kenwood Corp
00:07:56,Juyoung Telecom
A8:E5:52,Juwel Aquarium AG & Co KG
00:80:9B,Justsystem Corp
EC:7C:74,"Justone Tech Co, Ltd"
00:05:BF,"JustEzy Tech, Inc"
70:B3:D5:EB:5,Justek Inc
10:13:EE,Justec International Tech Inc
00:19:11,"Just In Mobile Information Tech (Shanghai) Co, Ltd"
48:5D:EB,Just Add Power
00:0B:CC,"Jusan, S.A."
74:78:18,Jurumani Solutions
00:19:95,Jurong Hi-Tech (Suzhou)CoLtd
00:05:18,Jupiters Tech
00:80:09,"Jupiter Systems, Inc"
00:26:29,Juphoon System Software Inc
0C:05:35,Juniper Systems
FC:33:42,Juniper Networks
20:D8:0B,Juniper Networks
50:C5:8D,Juniper Networks
00:1D:B5,Juniper Networks
F0:1C:2D,Juniper Networks
F0:4B:3A,Juniper Networks
00:23:9C,Juniper Networks
84:18:88,Juniper Networks
D0:07:CA,Juniper Networks
5C:5E:AB,Juniper Networks
40:B4:F0,Juniper Networks
88:A2:5E,Juniper Networks
C0:03:80,Juniper Networks
64:64:9B,Juniper Networks
88:E0:F3,Juniper Networks
44:F4:77,Juniper Networks
00:17:CB,Juniper Networks
28:A2:4B,Juniper Networks
00:12:1E,Juniper Networks
88:D9:8F,Juniper Networks
C0:BF:A7,Juniper Networks
EC:3E:F7,Juniper Networks
04:5C:6C,Juniper Networks
4C:96:14,Juniper Networks
CC:E1:7F,Juniper Networks
EC:38:73,Juniper Networks
EC:13:DB,Juniper Networks
54:E0:32,Juniper Networks
20:1B:C9,Juniper Networks
D4:04:FF,Juniper Networks
F4:B5:2F,Juniper Networks
28:C0:DA,Juniper Networks
28:8A:1C,Juniper Networks
F8:C0:01,Juniper Networks
40:71:83,Juniper Networks
F4:A7:39,Juniper Networks
00:19:E2,Juniper Networks
10:0E:7E,Juniper Networks
7C:E2:CA,Juniper Networks
3C:8A:B0,Juniper Networks
0C:86:10,Juniper Networks
18:2A:D3,Juniper Networks
F4:CC:55,Juniper Networks
E4:FC:82,Juniper Networks
78:50:7C,Juniper Networks
2C:6B:F5,Juniper Networks
B0:A8:6E,Juniper Networks
D8:18:D3,Juniper Networks
40:A6:77,Juniper Networks
3C:8C:93,Juniper Networks
58:00:BB,Juniper Networks
C8:E7:F0,Juniper Networks
00:14:F6,Juniper Networks
10:39:E9,Juniper Networks
88:E6:4B,Juniper Networks
30:7C:5E,Juniper Networks
54:1E:56,Juniper Networks
00:21:59,Juniper Networks
9C:8A:CB,Juniper Networks
5C:45:27,Juniper Networks
9C:CC:83,Juniper Networks
80:7F:F8,Juniper Networks
4C:16:FC,Juniper Networks
00:31:46,Juniper Networks
CC:E1:94,Juniper Networks
2C:21:72,Juniper Networks
2C:21:31,Juniper Networks
3C:61:04,Juniper Networks
00:22:83,Juniper Networks
00:24:DC,Juniper Networks
78:19:F7,Juniper Networks
80:AC:AC,Juniper Networks
44:EC:CE,Juniper Networks
00:26:88,Juniper Networks
C0:42:D0,Juniper Networks
E4:5D:37,Juniper Networks
B0:33:A6,Juniper Networks
D0:DD:49,Juniper Networks
30:B6:4F,Juniper Networks
00:1B:C0,Juniper Networks
84:C1:C1,Juniper Networks
B8:C2:53,Juniper Networks
A8:D0:E5,Juniper Networks
78:4F:9B,Juniper Networks
00:05:85,Juniper Networks
AC:4B:C8,Juniper Networks
54:4B:8C,Juniper Networks
20:4E:71,Juniper Networks
00:10:DB,Juniper Networks
7C:25:86,Juniper Networks
08:B2:58,Juniper Networks
3C:94:D5,Juniper Networks
84:B5:9C,Juniper Networks
94:F7:AD,Juniper Networks
0C:81:26,Juniper Networks
78:FE:3D,Juniper Networks
B0:C6:9A,Juniper Networks
38:4F:49,Juniper Networks
00:1F:12,Juniper Networks
D8:B1:22,Juniper Networks
64:C3:D6,Juniper Networks
00:90:69,Juniper Networks
44:AA:50,Juniper Networks
E8:B6:C2,Juniper Networks
1C:9C:8C,Juniper Networks
64:87:88,Juniper Networks
80:71:1F,Juniper Networks
08:81:F4,Juniper Networks
DC:38:E1,Juniper Networks
08:3A:5C,"Junilab, Inc"
64:A8:37,"Juni Korea Co, Ltd"
70:B3:D5:B8:D,"JungwooEng Co, Ltd"
00:50:C2:62:7,"JungleSystem Co, Ltd"
88:5F:E8:0,Jungheinrich Norderstedt AG & Co KG
00:50:C2:58:3,Junger Audio-Studiotechnik GmbH
9C:E1:D6,Junger Audio-Studiotechnik GmbH
00:07:2B,"Jung Myung Telecom Co, Ltd"
00:0F:F3,Jung Myoung Communications&Tech
C4:57:1F,June Life Inc
70:B3:D5:CE:7,June Automation Singapore Pte. Ltd
E4:82:CC,Jumptronic GmbH
00:14:14,Jumpnode Systems Llc
00:22:3D,"JumpGen Systems, Llc"
1C:82:59:7,Jump Trading
00:E0:4B,Jump Industrielle Computertechnik GmbH
9C:E2:30,"Julong Co,.Ltd"
00:40:79,"Juko Manufacture Co, Ltd"
00:20:3F,Juki Corp
44:68:AB,"Juin Co, Ltd"
00:50:C2:C0:8,juiceboss
00:50:C2:A5:7,"Juice Tech, Llc"
3C:EA:F9,Jubixcoltd
00:50:C2:A7:5,Jtl Systems Ltd
30:05:3F,"Jti Co, Ltd"
F0:4B:F2,"Jtech Communications, Inc"
00:26:BD,"Jtec Card &amp; Communication Co, Ltd"
CC:5D:78,Jtd Consulting
00:0E:FC,Jtag Tech B.V.
90:A7:83,Jsw Pacific Corp
00:11:A4,JStream Tech Inc
00:50:C2:05:1,Jsr Ultrasonics
70:B3:D5:B7:F,Jsk System
70:B3:D5:F2:5,"Jsc “Scientific Industrial Enterprise ""Rubin"""
70:B3:D5:CB:9,Jsc «Satis-TL-94»
24:E6:BA,Jsc Zavod im. Kozitsky
70:B3:D5:A8:A,Jsc Vist Group
E4:4C:C7:3,Jsc Svyaz Inginiring M
A4:B3:6A,Jsc Sdo Chromatec
00:1B:C5:05:D,Jsc Prominform
4C:BC:98:1,Jsc Nic
70:B3:D5:E9:8,Jsc Kaluga Astral
70:B3:D5:E8:9,Jsc Kaluga Astral
AC:64:DD:1,Jsc InfoTeCS
00:1F:63,Jsc Goodwin-Europa
40:D8:55:07:0,Jsc Electrical Equipment Factory
00:50:C2:BB:4,Jsc Electrical Equipment Factory
70:B3:D5:A6:E,Jsc Electrical Equipment Factory
00:25:01,"Jsc ""Supertel"""
00:1F:62,"Jsc ""Stilsoft"""
70:B3:D5:61:5,"Jsc ""Otzvuk"""
00:1E:FC,"Jsc ""Massa-K"""
00:50:C2:F9:D,"Jsc ""Kaluga Teletypes Manufacturing Plant"""
A0:DE:05,"Jsc ""Irbis-T"""
70:B3:D5:91:F,"Jsc ""InformInvestGroup"""
00:25:78,"Jsc ""Concern ""Sozvezdie"""
A4:3B:FA:D,"Jsc ""Component-Asu"""
00:50:C2:A5:C,"Jsc ""Component-Asu"""
00:A0:63,"Jrl Systems, Inc"
C8:3B:45,Jri
00:26:23,Jrd Communication Inc
00:12:33,"Jrc Tokki Co, Ltd"
00:0E:1A,Jps Communications
00:0C:EE,jp-embedded
00:18:F0,"Joytoto Co, Ltd"
00:0D:DE,"Joyteck Co, Ltd"
00:50:C2:A8:5,Joysystem
00:0B:52,Joymax Electronics Co Ltd
90:B8:D0,"Joyent, Inc"
00:1A:C0,"Joybien Tech Co, Ltd"
00:1F:C2,Jow Tong Tech Co Ltd
94:AA:B8,Joview(Beijing) Tech Co Ltd
00:06:CB,Jotron Electronics A/S
00:50:C2:15:4,Jostra AB
F8:8A:3C:7,Josh.ai
00:19:94,Jorjin Tech Inc
00:50:D4,Joohong Information &
70:B3:D5:33:5,Jonsa Australia Pty Ltd
00:B0:6D,Jones Futurex Inc
00:50:C2:BA:6,Jomitek
50:56:A8,Jolla Ltd
38:F5:57,"Jolata, Inc"
44:D5:F2:E,Joint-Stock Co Research and Development Center Elvees
00:50:C2:ED:A,"Joint Stock Co ""Svyaz Inginiring M"""
00:50:C2:98:7,"Joinsoon Electronics Mfg. Co, Ltd"
90:B9:7D,Johnson Outdoors Marine Electronics d/b/a Minnkota
00:1A:29,Johnson Outdoors Marine Electronics d/b/a Minnkota
40:F3:85:1,Johnson Matthey
00:10:8D,"Johnson Controls, Inc"
00:60:F0,"Johnson & Johnson Medical, Inc"
00:A0:9D,Johnathon Freeman Tech
00:80:40,John Fluke Manufacturing Co
F8:AE:27,John Deere Electronic Solutions
00:1C:65,"JoeScan, Inc"
00:50:C2:A9:D,Joehl & Koeferli AG
70:B3:D5:81:A,Joehl & Koeferli AG
00:1A:FB,Joby Inc
00:50:C2:35:E,"Jobin Yvon, Inc"
14:7D:B3,"Joa Telecom.Co, Ltd"
70:B3:D5:3E:7,"Jnr Sports Holdings, Llc"
9C:43:1E:B,Jnl Tech Inc
7C:5A:67,"Jnc Systems, Inc"
00:10:82,Jna Telecommunications Ltd
A0:AD:A1,"Jmr Electronics, Inc"
00:06:7A,Jmp Systems
00:1B:8C,JMicron Tech Corp
00:06:CC,"Jmi Electronics Co, Ltd"
00:50:C2:79:A,"Jmc America, Llc"
00:50:C2:00:1,Jmbs Developpements
60:9B:2D,"Jmacs Japan Co, Ltd"
0C:B9:12,JM-Data GmbH
60:95:CE:9,"Jlztlink Industry(ShenZhen)Co, Ltd"
A4:8C:C0,"Jlg Industries, Inc"
00:50:C2:F9:6,JLCooper Electronics
70:B3:D5:8E:A,JLCooper Electronics
00:50:C2:23:6,JLCooper Electronics
00:50:C2:07:E,JL-teknik
70:B3:D5:D5:4,JL World Corp Ltd
00:11:3E,JL Corp
4C:90:DB,JL Audio
00:90:C2,"JK microsystems, Inc"
70:B3:D5:4D:C,JK Device Corp
00:15:61,JJPlus Corp
F4:FC:B1,JJ Corp
A8:62:A2,"Jiwumedia Co, Ltd"
00:50:C2:BE:3,Jiskoot Ltd
70:B3:D5:97:4,Jireh Industries Ltd
E0:C9:22,"Jireh Energy Tech, Ltd"
00:50:C2:FC:D,Jinyoung Contech
94:00:06,jinyoung
18:2D:98,Jinwoo Industrial system
74:B9:EB,"JinQianMao Tech Co, Ltd"
34:3D:98,"JinQianMao Tech Co, Ltd"
F0:0D:5C,"JinQianMao Tech Co, Ltd"
7C:7D:41,"Jinmuyu Electronics Co, Ltd"
28:FD:80:9,"Jinlitong International Co, Ltd"
A0:3E:6B:D,Jining SmartCity Infotech CoLtd
70:B3:D5:78:B,"Jingtu Printing Systems Co, Ltd"
5C:58:19,"Jingsheng Tech Co, Ltd"
64:DF:10,JingLue Semiconductor(SH) Ltd
D8:B0:4C,"Jinan Usr Iot Tech Co, Ltd"
E0:62:90,"Jinan Jovision Science & Tech Co, Ltd"
8C:93:51,Jigowatts Inc
40:9F:87,Jide Tech (Hong Kong) Ltd
34:51:AA,Jid Global
50:E9:71,"Jibo, Inc"
20:9B:A5,"Jiaxing Glead Electronics Co, Ltd"
80:19:FE,"JianLing Tech Co, Ltd"
FC:45:5F,"Jiangxi Shanshui Optoelectronic Tech Co, Ltd"
A8:93:E6,"Jiangxi Jinggangshan Cking Communication Tech Co, Ltd"
D4:45:E8,"Jiangxi Hongpai Tech Co, Ltd"
98:6C:5C,"Jiangxi Gosun Guard Security Co, Ltd"
60:24:C1,"Jiangsu Zhongxun Electronic Tech Co, Ltd"
14:9B:2F,"JiangSu ZhongXie Intelligent Tech Co, Ltd"
50:0B:91:5,"jiangsu zhongling high-Tech Co, Ltd"
00:12:D6,"Jiangsu Yitong High-Tech Co, Ltd"
CC:D3:E2,"Jiangsu Yinhe Electronics Co, Ltd"
00:1D:08,"Jiangsu Yinhe Electronics Co, Ltd"
24:4E:7B:5,"Jiangsu Xuanbo Electronic Tech Co, Ltd"
D4:36:DB,"Jiangsu Toppower Automotive Electronics Co, Ltd"
F8:2B:C8,"Jiangsu Switter Co, Ltd"
78:8E:33,"Jiangsu Seuic Tech Co, Ltd"
38:3B:26,"Jiangsu Qinheng Co, Ltd"
84:C2:E4,"Jiangsu Qinheng Co, Ltd"
EC:22:57,"JiangSu NanJing University Electronic Information Tech Co, Ltd"
70:B7:E2,"Jiangsu Miter Tech Co, Ltd"
08:ED:02:3,"Jiangsu Logread Network Tech Co, Ltd"
00:23:9E,Jiangsu Lemote Tech Corp Ltd
C4:D4:89,"JiangSu Joyque Information Industry Co, Ltd"
70:B3:D5:49:2,"Jiangsu Jinheng Information Tech Co, Ltd"
2C:27:9E:D,"Jiangsu JianHu Science & Tech Co, Ltd"
2C:26:5F:2,"Jiangsu Jari Tech Group Co, Ltd"
18:BF:1C,"Jiangsu Huitong Group Co, Ltd"
08:EB:29,"Jiangsu Huitong Group Co, Ltd"
AC:04:81,"Jiangsu Huaxing Electronics Co, Ltd"
54:27:6C,Jiangsu Houge Tech Corp
70:B3:D5:D8:A,"Jiangsu Horaintel Co, Ltd"
B4:7C:59,"Jiangsu Hengxin Tech Co, Ltd"
AC:36:51,"Jiangsu Hengtong Terahertz Tech Co, Ltd"
F0:8A:28,"Jiangsu Hengsion Electronic S and T Co, Ltd"
44:28:A3,"Jiangsu fulian Communication Tech Co, Ltd"
1C:87:76:A,"Jiangsu Etern Communication Co, Ltd"
28:D4:36,"Jiangsu dewosi electric Co, Ltd"
C8:94:D2,"Jiangsu Datang Electronic Products Co, Ltd"
B0:C8:3F,"Jiangsu Cynray Iot Co, Ltd"
4C:4B:F9:1,"Jiangsu acrel Co, Ltd"
00:1A:D6,"Jiagnsu Aetna Electric Co, Ltd"
AC:64:DD:0,Jia-Teng
00:1B:62,"Jht Optoelectronics Co, Ltd"
A0:28:33:5,Jgr Optics Inc
C4:8A:5A,Jfcontrol
70:B3:D5:5F:7,Jfa Electronics Industry and Commerce Eireli
00:1E:92,Jeulin S.A.
00:30:18,"Jetway Information Co, Ltd"
64:4F:42,"Jetter Co, Ltd"
00:50:CB,Jetter
00:50:C2:E1:6,Jetstream Ltd
00:04:AA,Jetstream Communications
88:F4:90,Jetmobile Pte Ltd
C8:D2:C1,Jetlun (Shenzhen) Corp
70:B3:D5:93:8,Jeti Technische Instrumente GmbH
00:D0:2B,"Jetcell, Inc"
00:18:97,"Jess-Link Products Co, Ltd"
00:0A:D2,Jepico Corp
00:25:49,"Jeorich Tech Co, Ltd"
00:14:D6,"Jeongmin Electronics Co, Ltd"
00:20:10,Jeol System Tech Co Ltd
34:21:09,Jensen Scandinavia AS
48:E3:C3,Jenoptik Advanced Systems GmbH
00:04:4C,Jenoptik
00:50:C2:DF:9,Jenny Science AG
AC:6B:AC,Jenny Science AG
00:15:8D,Jennic Ltd
00:19:5A,Jenaer Antriebstechnik GmbH
70:B3:D5:16:E,Jemac Sweden AB
D8:D2:7C,"Jema Energy, SA"
40:D8:55:08:8,"Jel System Co, Ltd"
00:50:C2:17:C,Jeffress Engineering Pty Ltd
5C:40:58,"Jefferson Audio Video Systems, Inc"
98:1E:0F,Jeelan (Shanghai Jeelan Tech Information Inc
00:06:36,Jedai Broadband Networks
48:D5:4C,Jeda Networks
08:E6:72,"Jebsee Electronics Co, Ltd"
70:B3:D5:E0:0,"Jeaway Cctv Security Ltd,."
00:07:C4,Jean Co Ltd
00:1B:C5:03:3,JE Suunnittelu Oy
00:22:BC,Jdsu France Sas
00:01:9C,Jds Uniphase Inc
E8:18:63:A,"Jdm Mobile Internet Solution(Shanghai) Co, Ltd"
40:86:2E,"Jdm Mobile Internet Solution Co, Ltd"
6C:0F:6A,"Jdc Tech Co, Ltd"
30:2D:E8,"Jda, Llc (Jda Systems)"
AC:58:7B,Jct Healthcare
00:A0:97,JC Information Systems
00:02:E4,"JC Hyun Systems, Inc"
70:B3:D5:C6:1,JC Hunter Tech
00:1B:93,JC Decaux SA Dnt
00:13:EE,Jbx Designs Inc
F4:F3:AA,Jbl GmbH & Co KG
DC:E5:33:8,JB-Lighting Lichtanlagen GmbH
00:14:27,JazzMutant
00:E0:69,Jaycor
D4:9C:28,JayBird Llc
00:0F:16,"Jay How Tech Co,"
00:90:C4,"Javelin Systems, Inc"
70:B3:D5:99:1,Javasparrow Inc
00:18:D7,"Javad Gnss, Inc"
0C:F3:61,Java Information
00:16:FD,Jaty Electronics
00:E0:3F,Jaton Corp
00:50:1C,"Jatom Systems, Inc"
00:E0:83,"Jato Tech, Inc"
4C:8F:A5,Jastec
00:1F:09,Jastec
24:69:4A,Jasmine Systems Inc
00:50:C2:FA:4,Jasmine Systems Inc
00:03:67,"Jasmine Networks, Inc"
00:08:65,"Jascom Co, Ltd"
28:FD:80:8,Jasco Products Co
00:C0:28,Jasco Corp
70:B3:D5:7F:7,Jasco Applied Sciences Canada Ltd
08:00:61,Jarogate Ltd
00:01:CC,"Japan Total Design Communication Co, Ltd"
08:68:D0,Japan System Design
70:88:4D,"Japan Radio Co, Ltd"
00:00:27,Japan Radio Co
00:0D:B1,"Japan Network Service Co, Ltd"
00:20:D7,"Japan Minicomputer Systems Co, Ltd"
08:00:42,Japan Macnics Corp
00:1F:0E,"Japan Kyastem Co, Ltd"
00:0D:DF,Japan Image & Network Inc
00:50:C2:B0:D,"Japan Electronics System, Inc"
00:12:26,Japan Direx Corp
00:20:DE,Japan Digital Laborat'Y CoLtd
00:04:FD,"Japan Control Engineering Co, Ltd"
00:80:0A,Japan Computer Corp
